test	status	suite	shard	exit	cycles	wall_s	perm	detail
test_bac_cl.TestBACConstruction::test_bac_construct	PASS	block-BAC	none			0		
test_bac_cl.TestBACConstruction::test_bac_initial_state	PASS	block-BAC	none			0		
test_bac_cl.TestBACConstruction::test_bac_reset_state	PASS	block-BAC	none			0		
test_bac_cl.TestBACSpecGapsRound2::test_case3_squash_before_predict	PASS	block-BAC	none			0		
test_bac_cl.TestBACSpecGapsRound2::test_case5_is_uncond_from_branch_type	PASS	block-BAC	none			0		
test_bac_cl.TestBACSpecGapsRound2::test_pred_target_carries_next_pc_when_not_taken	PASS	block-BAC	none			0		
test_bac_cl.TestBACSpecGapsRound2::test_resteer_ack_cleared_on_squashing_to_running	PASS	block-BAC	none			0		
test_bac_cl.TestBACSpecGapsRound2::test_resteer_ack_not_cleared_if_squash_extends	PASS	block-BAC	none			0		
test_bac_cl.TestBACThreadStatusFSM::test_drain_to_idle	PASS	block-BAC	none			0		
test_bac_cl.TestBACThreadStatusFSM::test_ftqfull_to_running	PASS	block-BAC	none			0		
test_bac_cl.TestBACThreadStatusFSM::test_idle_to_running	PASS	block-BAC	none			0		
test_bac_cl.TestBACThreadStatusFSM::test_running_to_ftqfull	PASS	block-BAC	none			0		
test_bac_cl.TestBACThreadStatusFSM::test_running_to_squashing_commit	PASS	block-BAC	none			0		
test_bac_cl.TestBACThreadStatusFSM::test_squashing_to_running	PASS	block-BAC	none			0		
test_bac_cl.TestBPUSMTAndValidation::test_bpu_hist_buf_global_allocation	PASS	block-BAC	none			0		
test_bac_cl.TestBPUSMTAndValidation::test_bpu_squash_checks_valid	PASS	block-BAC	none			0		
test_bac_cl.TestBPUSMTAndValidation::test_bpu_update_checks_valid	PASS	block-BAC	none			0		
test_bac_cl.TestBPUSMTAndValidation::test_ftq_entry_has_bpu_history_valid	PASS	block-BAC	none			0		
test_bac_cl.TestBPUSMTAndValidation::test_squash_to_uses_bpu_history_valid	FAIL	block-BAC	none			0		AssertionError: Expected 1 squash_to call for bpu_history_valid=True entry, got 0 assert 0 == 1  +  where 0 = len([]) self = <BAC.test_bac_cl.TestBPUSMTAndValidation object at 0x7f873bec93a0>      def test_squash_to_uses_bpu_history_valid(self):         """FTQ-FIELDS: squashBpuHistories uses bpu_history_valid flag.              Insert an entry with bpu_history_valid=True.         The squash should
test_bac_cl.TestBPUSquashTo::test_squash_to_calls_bpu_squash_to	FAIL	block-BAC	none			0		assert 0 == 1  +  where 0 = len([]) self = <BAC.test_bac_cl.TestBPUSquashTo object at 0x7f873becabd0>      def test_squash_to_calls_bpu_squash_to(self):         """_squash_bpu_histories calls bpu_squash_to with oldest anchor.              Spec reference: Section 2.7.1 — uses get_oldest_bpu_anchor to find         the oldest entry, then calls bpu_squash_to with that anchor.         """         bac =
test_bac_cl.TestBPUSquashTo::test_squash_to_clears_bpred_hist	FAIL	block-BAC	none			0		assert 0 == 1  +  where 0 = len([]) self = <BAC.test_bac_cl.TestBPUSquashTo object at 0x7f873bec9ee0>      def test_squash_to_clears_bpred_hist(self):         """After _squash_bpu_histories, bpu_squash_to is called with the oldest anchor."""         bac = make_bac()         call_log = []              def mock_squash_to(req):             call_log.append(req)              bac.bpu_squash_to.method = 
test_bac_cl.TestBPUSquashTo::test_squash_to_empty_ftq	PASS	block-BAC	none			0		
