test	suite	shard	cycles	cpred_predicted	cpred_mispred_squash	cpred_btb_miss_redirect	ras_predicted	ras_mispred	indirect_predicted	indirect_mispred	fetch_resteer_to_bac	load_committed	lr_committed	store_committed	sc_committed	store_violation_squash	all_squashes
hypervisor-p-2-stage_translation	p-	none	1380	0	2	6	0	0	0	0	1	1	0	13	0	0	27
hypervisor-p-2-stage_translation_implicit_load_error	p-	none	1652	0	1	7	0	0	0	0	1	0	0	3	0	0	34
hypervisor-p-2-stage_translation_implicit_load_error_hs	p-	none	1827	0	1	7	0	0	0	0	1	0	0	3	0	0	38
hypervisor-svadu-p-2-stage_translation_implicit_store_error	p-	none	1768	0	1	7	0	0	0	0	1	0	0	3	0	0	36
hypervisor-svadu-p-2-stage_translation_implicit_store_error_hs	p-	none	1940	0	1	7	0	0	0	0	1	0	0	3	0	0	40
rv64mi-p-breakpoint	p-	none	3329	0	3	8	0	0	10	1	1	3	0	2	0	0	74
rv64mi-p-csr	p-	none	3428	16	1	9	0	0	6	0	1	1	0	1	0	0	76
rv64mi-p-illegal	p-	none	4343	252	3	32	0	0	12	0	2	0	0	1	0	0	110
rv64mi-p-instret_overflow	p-	none	1258	0	0	8	0	0	0	0	1	0	0	1	0	0	30
rv64mi-p-ld-misaligned	p-	none	1386	0	3	7	0	0	0	0	1	8	0	1	0	0	25
rv64mi-p-lh-misaligned	p-	none	1102	0	3	7	0	0	0	0	1	2	0	1	0	0	25
rv64mi-p-lw-misaligned	p-	none	1171	0	3	7	0	0	0	0	1	4	0	1	0	0	25
rv64mi-p-ma_addr	p-	none	1538	0	2	8	0	0	0	0	1	59	0	12	0	0	25
rv64mi-p-ma_fetch	p-	none	1948	0	1	26	0	0	0	0	9	0	0	1	0	0	48
rv64mi-p-mcsr	p-	none	1339	0	3	7	0	0	0	0	1	0	0	1	0	0	32
rv64mi-p-pmpaddr	p-	none	1185	0	0	9	0	0	0	0	1	0	0	1	0	0	28
rv64mi-p-sbreak	p-	none	1315	27	0	10	0	0	2	0	1	0	0	1	0	0	31
rv64mi-p-scall	p-	none	1261	0	0	9	0	0	0	0	1	0	0	1	0	0	30
rv64mi-p-sd-misaligned	p-	none	1436	0	2	16	0	0	0	0	1	8	0	9	0	0	26
rv64mi-p-sh-misaligned	p-	none	1109	0	3	9	0	0	0	0	2	2	0	3	0	0	25
rv64mi-p-sw-misaligned	p-	none	1150	0	2	11	0	0	0	0	3	4	0	5	0	0	25
rv64mi-p-zicntr	p-	none	1425	0	0	8	0	0	0	0	1	0	0	1	0	0	33
rv64mzicbo-p-zero	p-	none	1158	0	1	7	0	0	0	0	1	8	0	2	0	0	24
rv64si-p-csr	p-	none	2248	0	2	6	0	0	0	0	1	0	0	1	0	0	51
rv64si-p-dirty	p-	none	2251	45	1	11	0	0	6	0	1	6	0	6	0	0	49
rv64si-p-icache-alias	p-	none	2368	0	2	8	0	0	82	4	1	0	0	7	0	0	53
rv64si-p-ma_fetch	p-	none	1382	0	1	24	0	0	0	0	4	0	0	1	0	0	33
rv64si-p-sbreak	p-	none	1325	15	0	8	0	0	0	0	1	0	0	1	0	0	31
rv64si-p-scall	p-	none	1443	13	0	8	0	0	0	0	1	0	0	1	0	0	34
rv64si-p-wfi	p-	none	1173	0	2	6	0	0	0	0	1	0	0	1	0	0	28
rv64ssvnapot-p-napot	p-	none	1658	3	2	8	0	0	2	0	1	0	0	7	0	0	34
rv64ua-p-amoadd_d	p-	none	1081	0	3	7	0	0	0	0	1	2	0	2	0	0	24
rv64ua-p-amoadd_w	p-	none	1120	0	3	7	0	0	0	0	1	2	0	2	0	1	25
rv64ua-p-amoand_d	p-	none	1121	0	3	7	0	0	0	0	1	2	0	2	0	1	25
rv64ua-p-amoand_w	p-	none	1117	0	3	7	0	0	0	0	1	2	0	2	0	1	25
rv64ua-p-amomax_d	p-	none	1077	0	3	7	0	0	0	0	1	2	0	3	0	0	24
rv64ua-p-amomax_w	p-	none	1100	0	3	7	0	0	0	0	1	3	0	4	0	0	24
rv64ua-p-amomaxu_d	p-	none	1077	0	3	7	0	0	0	0	1	2	0	3	0	0	24
rv64ua-p-amomaxu_w	p-	none	1100	0	3	7	0	0	0	0	1	3	0	4	0	0	24
rv64ua-p-amomin_d	p-	none	1077	0	3	7	0	0	0	0	1	2	0	3	0	0	24
rv64ua-p-amomin_w	p-	none	1100	0	3	7	0	0	0	0	1	3	0	4	0	0	24
rv64ua-p-amominu_d	p-	none	1077	0	3	7	0	0	0	0	1	2	0	3	0	0	24
rv64ua-p-amominu_w	p-	none	1100	0	3	7	0	0	0	0	1	3	0	4	0	0	24
rv64ua-p-amoor_d	p-	none	1117	0	3	7	0	0	0	0	1	2	0	2	0	1	25
rv64ua-p-amoor_w	p-	none	1117	0	3	7	0	0	0	0	1	2	0	2	0	1	25
rv64ua-p-amoswap_d	p-	none	1121	0	3	7	0	0	0	0	1	2	0	2	0	1	25
rv64ua-p-amoswap_w	p-	none	1117	0	3	7	0	0	0	0	1	2	0	2	0	1	25
rv64ua-p-amoxor_d	p-	none	1125	0	3	7	0	0	0	0	1	2	0	2	0	1	25
rv64ua-p-amoxor_w	p-	none	1129	0	3	7	0	0	0	0	1	2	0	2	0	1	25
rv64ua-p-lrsc	p-	none	17171	2019	13	9	0	0	0	0	1	4	1025	1	1028	71	105
rv64uc-p-rvc	p-	none	1589	1	3	28	0	0	0	1	7	9	0	5	0	0	34
rv64ud-p-fadd	p-	none	1912	0	3	7	0	0	0	0	1	40	0	1	0	0	36
rv64ud-p-fclass	p-	none	1233	0	3	7	0	0	0	0	1	0	0	1	0	0	26
rv64ud-p-fcmp	p-	none	2202	0	3	7	0	0	0	0	1	60	0	1	0	0	41
rv64ud-p-fcvt	p-	none	1824	0	3	7	0	0	0	0	1	17	0	1	0	0	36
rv64ud-p-fcvt_w	p-	none	3736	0	3	7	0	0	0	0	1	152	0	1	0	0	60
rv64ud-p-fdiv	p-	none	1740	0	3	7	0	0	0	0	1	32	0	1	0	0	34
rv64ud-p-fmadd	p-	none	2072	0	3	7	0	0	0	0	1	48	0	1	0	0	38
rv64ud-p-fmin	p-	none	2544	0	3	7	0	0	0	0	1	72	0	1	0	0	44
rv64ud-p-ldst	p-	none	1172	0	3	7	0	0	0	0	1	10	0	6	0	0	26
rv64ud-p-move	p-	none	2696	0	3	7	0	0	0	0	1	0	0	1	0	0	26
rv64ud-p-recoding	p-	none	1245	0	3	7	0	0	0	0	1	7	0	2	0	0	26
